Feature,SHAP_Value,Impact,EmployeeID,Rank,ActualAttrition,PredictedAttrition,Probability_of_Leaving,FinancialRisk,RiskCategory
Overtime,1.744,Increases Risk,1344,1,0,0,0.1397944208961915,107798.27,Medium
Research Scientist,0.75,Increases Risk,1344,2,0,0,0.1397944208961915,107798.27,Medium
JobSatisfaction,0.676,Increases Risk,1344,3,0,0,0.1397944208961915,107798.27,Medium
NumCompaniesWorked,0.495,Increases Risk,1344,4,0,0,0.1397944208961915,107798.27,Medium
Travels Rarely,0.35,Increases Risk,1344,5,0,0,0.1397944208961915,107798.27,Medium
EnvironmentSatisfaction,-0.588,Reduces Risk,1344,1,0,0,0.1397944208961915,107798.27,Medium
Travels Frequently,-0.49,Reduces Risk,1344,2,0,0,0.1397944208961915,107798.27,Medium
Single,-0.475,Reduces Risk,1344,3,0,0,0.1397944208961915,107798.27,Medium
Medical,-0.343,Reduces Risk,1344,4,0,0,0.1397944208961915,107798.27,Medium
TotalWorkingYears,-0.332,Reduces Risk,1344,5,0,0,0.1397944208961915,107798.27,Medium
Single,0.883,Increases Risk,289,1,0,0,0.008856191266478753,5276.52,Low
Research Scientist,0.75,Increases Risk,289,2,0,0,0.008856191266478753,5276.52,Low
Travels Rarely,0.35,Increases Risk,289,3,0,0,0.008856191266478753,5276.52,Low
TotalWorkingYears,0.32,Increases Risk,289,4,0,0,0.008856191266478753,5276.52,Low
YearsWithCurrManager,0.24,Increases Risk,289,5,0,0,0.008856191266478753,5276.52,Low
EnvironmentSatisfaction,-0.588,Reduces Risk,289,1,0,0,0.008856191266478753,5276.52,Low
JobSatisfaction,-0.51,Reduces Risk,289,2,0,0,0.008856191266478753,5276.52,Low
Travels Frequently,-0.49,Reduces Risk,289,3,0,0,0.008856191266478753,5276.52,Low
Overtime,-0.409,Reduces Risk,289,4,0,0,0.008856191266478753,5276.52,Low
Life Sciences,-0.373,Reduces Risk,289,5,0,0,0.008856191266478753,5276.52,Low
Overtime,1.744,Increases Risk,1096,1,0,0,0.1238138437729227,366323.07,High
YearsAtCompany,1.587,Increases Risk,1096,2,0,0,0.1238138437729227,366323.07,High
Single,0.883,Increases Risk,1096,3,0,0,0.1238138437729227,366323.07,High
YearsSinceLastPromotion,0.812,Increases Risk,1096,4,0,0,0.1238138437729227,366323.07,High
EstimatedMonthlySalary,0.44,Increases Risk,1096,5,0,0,0.1238138437729227,366323.07,High
TotalWorkingYears,-0.628,Reduces Risk,1096,1,0,0,0.1238138437729227,366323.07,High
YearsInCurrentRole,-0.513,Reduces Risk,1096,2,0,0,0.1238138437729227,366323.07,High
JobSatisfaction,-0.51,Reduces Risk,1096,3,0,0,0.1238138437729227,366323.07,High
Travels Frequently,-0.49,Reduces Risk,1096,4,0,0,0.1238138437729227,366323.07,High
YearsWithCurrManager,-0.416,Reduces Risk,1096,5,0,0,0.1238138437729227,366323.07,High
Sales Executive,0.696,Increases Risk,1355,1,0,0,0.17887779046689284,177314.4,High
WorkLifeBalance,0.589,Increases Risk,1355,2,0,0,0.17887779046689284,177314.4,High
Sales Department,0.404,Increases Risk,1355,3,0,0,0.17887779046689284,177314.4,High
YearsInCurrentRole,0.375,Increases Risk,1355,4,0,0,0.17887779046689284,177314.4,High
Travels Rarely,0.35,Increases Risk,1355,5,0,0,0.17887779046689284,177314.4,High
Travels Frequently,-0.49,Reduces Risk,1355,1,0,0,0.17887779046689284,177314.4,High
Single,-0.475,Reduces Risk,1355,2,0,0,0.17887779046689284,177314.4,High
Overtime,-0.409,Reduces Risk,1355,3,0,0,0.17887779046689284,177314.4,High
YearsAtCompany,-0.28,Reduces Risk,1355,4,0,0,0.17887779046689284,177314.4,High
Marketing,-0.272,Reduces Risk,1355,5,0,0,0.17887779046689284,177314.4,High
Single,0.883,Increases Risk,29,1,0,0,0.07947018348473388,271029.88,High
JobSatisfaction,0.676,Increases Risk,29,2,0,0,0.07947018348473388,271029.88,High
EstimatedMonthlySalary,0.543,Increases Risk,29,3,0,0,0.07947018348473388,271029.88,High
Sales Department,0.404,Increases Risk,29,4,0,0,0.07947018348473388,271029.88,High
YearsInCurrentRole,0.375,Increases Risk,29,5,0,0,0.07947018348473388,271029.88,High
TotalWorkingYears,-0.687,Reduces Risk,29,1,0,0,0.07947018348473388,271029.88,High
YearsAtCompany,-0.5,Reduces Risk,29,2,0,0,0.07947018348473388,271029.88,High
Travels Frequently,-0.49,Reduces Risk,29,3,0,0,0.07947018348473388,271029.88,High
Overtime,-0.409,Reduces Risk,29,4,0,0,0.07947018348473388,271029.88,High
JobLevel,-0.327,Reduces Risk,29,5,0,0,0.07947018348473388,271029.88,High
Overtime,1.744,Increases Risk,486,1,0,0,0.29473603888828226,509409.98,High
YearsInCurrentRole,0.73,Increases Risk,486,2,0,0,0.29473603888828226,509409.98,High
Sales Executive,0.696,Increases Risk,486,3,0,0,0.29473603888828226,509409.98,High
YearsWithCurrManager,0.503,Increases Risk,486,4,0,0,0.29473603888828226,509409.98,High
Sales Department,0.404,Increases Risk,486,5,0,0,0.29473603888828226,509409.98,High
EnvironmentSatisfaction,-0.588,Reduces Risk,486,1,0,0,0.29473603888828226,509409.98,High
Travels Frequently,-0.49,Reduces Risk,486,2,0,0,0.29473603888828226,509409.98,High
Single,-0.475,Reduces Risk,486,3,0,0,0.29473603888828226,509409.98,High
TotalWorkingYears,-0.391,Reduces Risk,486,4,0,0,0.29473603888828226,509409.98,High
YearsAtCompany,-0.39,Reduces Risk,486,5,0,0,0.29473603888828226,509409.98,High
YearsAtCompany,0.928,Increases Risk,76,1,0,0,0.04829847842081488,37487.35,Medium
Single,0.883,Increases Risk,76,2,0,0,0.04829847842081488,37487.35,Medium
Sales Executive,0.696,Increases Risk,76,3,0,0,0.04829847842081488,37487.35,Medium
JobSatisfaction,0.676,Increases Risk,76,4,0,0,0.04829847842081488,37487.35,Medium
Sales Department,0.404,Increases Risk,76,5,0,0,0.04829847842081488,37487.35,Medium
YearsInCurrentRole,-1.578,Reduces Risk,76,1,0,0,0.04829847842081488,37487.35,Medium
YearsWithCurrManager,-0.547,Reduces Risk,76,2,0,0,0.04829847842081488,37487.35,Medium
NumCompaniesWorked,-0.524,Reduces Risk,76,3,0,0,0.04829847842081488,37487.35,Medium
Travels Frequently,-0.49,Reduces Risk,76,4,0,0,0.04829847842081488,37487.35,Medium
Overtime,-0.409,Reduces Risk,76,5,0,0,0.04829847842081488,37487.35,Medium
Overtime,1.744,Increases Risk,903,1,0,0,0.05660789712615481,67484.54,Medium
YearsInCurrentRole,0.73,Increases Risk,903,2,0,0,0.05660789712615481,67484.54,Medium
YearsWithCurrManager,0.503,Increases Risk,903,3,0,0,0.05660789712615481,67484.54,Medium
Travels Rarely,0.35,Increases Risk,903,4,0,0,0.05660789712615481,67484.54,Medium
TotalWorkingYears,0.261,Increases Risk,903,5,0,0,0.05660789712615481,67484.54,Medium
JobSatisfaction,-0.51,Reduces Risk,903,1,0,0,0.05660789712615481,67484.54,Medium
Travels Frequently,-0.49,Reduces Risk,903,2,0,0,0.05660789712615481,67484.54,Medium
Single,-0.475,Reduces Risk,903,3,0,0,0.05660789712615481,67484.54,Medium
Life Sciences,-0.373,Reduces Risk,903,4,0,0,0.05660789712615481,67484.54,Medium
NumCompaniesWorked,-0.32,Reduces Risk,903,5,0,0,0.05660789712615481,67484.54,Medium
Overtime,1.744,Increases Risk,65,1,0,0,0.006701801070250286,17800.52,Low
YearsInCurrentRole,0.73,Increases Risk,65,2,0,0,0.006701801070250286,17800.52,Low
EstimatedMonthlySalary,0.371,Increases Risk,65,3,0,0,0.006701801070250286,17800.52,Low
Travels Rarely,0.35,Increases Risk,65,4,0,0,0.006701801070250286,17800.52,Low
YearsWithCurrManager,0.24,Increases Risk,65,5,0,0,0.006701801070250286,17800.52,Low
TotalWorkingYears,-0.628,Reduces Risk,65,1,0,0,0.006701801070250286,17800.52,Low
EnvironmentSatisfaction,-0.588,Reduces Risk,65,2,0,0,0.006701801070250286,17800.52,Low
Age,-0.512,Reduces Risk,65,3,0,0,0.006701801070250286,17800.52,Low
Travels Frequently,-0.49,Reduces Risk,65,4,0,0,0.006701801070250286,17800.52,Low
Single,-0.475,Reduces Risk,65,5,0,0,0.006701801070250286,17800.52,Low
Travels Frequently,1.326,Increases Risk,1146,1,0,0,0.019356023528655772,16458.81,Low
YearsSinceLastPromotion,0.812,Increases Risk,1146,2,0,0,0.019356023528655772,16458.81,Low
Manufacturing Director,0.541,Increases Risk,1146,3,0,0,0.019356023528655772,16458.81,Low
YearsAtCompany,0.269,Increases Risk,1146,4,0,0,0.019356023528655772,16458.81,Low
RelationshipSatisfaction,0.267,Increases Risk,1146,5,0,0,0.019356023528655772,16458.81,Low
Travels Rarely,-0.622,Reduces Risk,1146,1,0,0,0.019356023528655772,16458.81,Low
JobInvolvement,-0.61,Reduces Risk,1146,2,0,0,0.019356023528655772,16458.81,Low
YearsInCurrentRole,-0.513,Reduces Risk,1146,3,0,0,0.019356023528655772,16458.81,Low
JobSatisfaction,-0.51,Reduces Risk,1146,4,0,0,0.019356023528655772,16458.81,Low
Single,-0.475,Reduces Risk,1146,5,0,0,0.019356023528655772,16458.81,Low
Sales Executive,0.696,Increases Risk,583,1,0,0,0.10087075167985403,118018.78,Medium
JobSatisfaction,0.676,Increases Risk,583,2,0,0,0.10087075167985403,118018.78,Medium
NumCompaniesWorked,0.495,Increases Risk,583,3,0,0,0.10087075167985403,118018.78,Medium
Sales Department,0.404,Increases Risk,583,4,0,0,0.10087075167985403,118018.78,Medium
YearsInCurrentRole,0.375,Increases Risk,583,5,0,0,0.10087075167985403,118018.78,Medium
Travels Frequently,-0.49,Reduces Risk,583,1,0,0,0.10087075167985403,118018.78,Medium
Single,-0.475,Reduces Risk,583,2,0,0,0.10087075167985403,118018.78,Medium
Overtime,-0.409,Reduces Risk,583,3,0,0,0.10087075167985403,118018.78,Medium
YearsAtCompany,-0.39,Reduces Risk,583,4,0,0,0.10087075167985403,118018.78,Medium
Life Sciences,-0.373,Reduces Risk,583,5,0,0,0.10087075167985403,118018.78,Medium
Overtime,1.744,Increases Risk,882,1,0,0,0.2078621710665954,383580.54,High
JobInvolvement,0.819,Increases Risk,882,2,0,0,0.2078621710665954,383580.54,High
YearsSinceLastPromotion,0.812,Increases Risk,882,3,0,0,0.2078621710665954,383580.54,High
JobSatisfaction,0.676,Increases Risk,882,4,0,0,0.2078621710665954,383580.54,High
Manufacturing Director,0.541,Increases Risk,882,5,0,0,0.2078621710665954,383580.54,High
YearsInCurrentRole,-0.513,Reduces Risk,882,1,0,0,0.2078621710665954,383580.54,High
Travels Frequently,-0.49,Reduces Risk,882,2,0,0,0.2078621710665954,383580.54,High
Single,-0.475,Reduces Risk,882,3,0,0,0.2078621710665954,383580.54,High
YearsWithCurrManager,-0.416,Reduces Risk,882,4,0,0,0.2078621710665954,383580.54,High
TotalWorkingYears,-0.391,Reduces Risk,882,5,0,0,0.2078621710665954,383580.54,High
Overtime,1.744,Increases Risk,948,1,0,0,0.13446955978537029,288421.07,High
JobSatisfaction,0.676,Increases Risk,948,2,0,0,0.13446955978537029,288421.07,High
YearsInCurrentRole,0.552,Increases Risk,948,3,0,0,0.13446955978537029,288421.07,High
Travels Rarely,0.35,Increases Risk,948,4,0,0,0.13446955978537029,288421.07,High
DistanceFromHome,0.327,Increases Risk,948,5,0,0,0.13446955978537029,288421.07,High
YearsWithCurrManager,-0.547,Reduces Risk,948,1,0,0,0.13446955978537029,288421.07,High
Travels Frequently,-0.49,Reduces Risk,948,2,0,0,0.13446955978537029,288421.07,High
Single,-0.475,Reduces Risk,948,3,0,0,0.13446955978537029,288421.07,High
Medical,-0.343,Reduces Risk,948,4,0,0,0.13446955978537029,288421.07,High
NumCompaniesWorked,-0.32,Reduces Risk,948,5,0,0,0.13446955978537029,288421.07,High
EstimatedMonthlySalary,0.529,Increases Risk,858,1,0,0,0.00020282320393583432,679.27,Low
Travels Rarely,0.35,Increases Risk,858,2,0,0,0.00020282320393583432,679.27,Low
YearsSinceLastPromotion,0.329,Increases Risk,858,3,0,0,0.00020282320393583432,679.27,Low
Life Sciences,0.219,Increases Risk,858,4,0,0,0.00020282320393583432,679.27,Low
RelationshipSatisfaction,0.109,Increases Risk,858,5,0,0,0.00020282320393583432,679.27,Low
TotalWorkingYears,-0.924,Reduces Risk,858,1,0,0,0.00020282320393583432,679.27,Low
EnvironmentSatisfaction,-0.588,Reduces Risk,858,2,0,0,0.00020282320393583432,679.27,Low
TrainingTimesLastYear,-0.523,Reduces Risk,858,3,0,0,0.00020282320393583432,679.27,Low
YearsInCurrentRole,-0.513,Reduces Risk,858,4,0,0,0.00020282320393583432,679.27,Low
Travels Frequently,-0.49,Reduces Risk,858,5,0,0,0.00020282320393583432,679.27,Low
Human Resources,1.787,Increases Risk,551,1,0,0,0.23171449507563988,266476.3,High
NumCompaniesWorked,1.31,Increases Risk,551,2,0,0,0.23171449507563988,266476.3,High
WorkLifeBalance,0.589,Increases Risk,551,3,0,0,0.23171449507563988,266476.3,High
Travels Rarely,0.35,Increases Risk,551,4,0,0,0.23171449507563988,266476.3,High
JobSatisfaction,0.281,Increases Risk,551,5,0,0,0.23171449507563988,266476.3,High
JobInvolvement,-0.61,Reduces Risk,551,1,0,0,0.23171449507563988,266476.3,High
Travels Frequently,-0.49,Reduces Risk,551,2,0,0,0.23171449507563988,266476.3,High
Single,-0.475,Reduces Risk,551,3,0,0,0.23171449507563988,266476.3,High
Overtime,-0.409,Reduces Risk,551,4,0,0,0.23171449507563988,266476.3,High
Male,-0.296,Reduces Risk,551,5,0,0,0.23171449507563988,266476.3,High
Overtime,1.744,Increases Risk,1374,1,0,0,0.03380933602846532,108781.54,Medium
YearsInCurrentRole,0.73,Increases Risk,1374,2,0,0,0.03380933602846532,108781.54,Medium
YearsWithCurrManager,0.503,Increases Risk,1374,3,0,0,0.03380933602846532,108781.54,Medium
EstimatedMonthlySalary,0.499,Increases Risk,1374,4,0,0,0.03380933602846532,108781.54,Medium
DistanceFromHome,0.493,Increases Risk,1374,5,0,0,0.03380933602846532,108781.54,Medium
TotalWorkingYears,-1.101,Reduces Risk,1374,1,0,0,0.03380933602846532,108781.54,Medium
YearsAtCompany,-0.609,Reduces Risk,1374,2,0,0,0.03380933602846532,108781.54,Medium
Age,-0.592,Reduces Risk,1374,3,0,0,0.03380933602846532,108781.54,Medium
EnvironmentSatisfaction,-0.588,Reduces Risk,1374,4,0,0,0.03380933602846532,108781.54,Medium
JobSatisfaction,-0.51,Reduces Risk,1374,5,0,0,0.03380933602846532,108781.54,Medium
JobRole_Sales Representative,1.949,Increases Risk,478,1,0,0,0.14216397227124242,53635.62,Medium
Sales Department,0.404,Increases Risk,478,2,0,0,0.14216397227124242,53635.62,Medium
Travels Rarely,0.35,Increases Risk,478,3,0,0,0.14216397227124242,53635.62,Medium
Age,0.284,Increases Risk,478,4,0,0,0.14216397227124242,53635.62,Medium
TrainingTimesLastYear,0.274,Increases Risk,478,5,0,0,0.14216397227124242,53635.62,Medium
Travels Frequently,-0.49,Reduces Risk,478,1,0,0,0.14216397227124242,53635.62,Medium
Single,-0.475,Reduces Risk,478,2,0,0,0.14216397227124242,53635.62,Medium
Overtime,-0.409,Reduces Risk,478,3,0,0,0.14216397227124242,53635.62,Medium
Medical,-0.343,Reduces Risk,478,4,0,0,0.14216397227124242,53635.62,Medium
NumCompaniesWorked,-0.32,Reduces Risk,478,5,0,0,0.14216397227124242,53635.62,Medium
Sales Executive,0.696,Increases Risk,836,1,1,0,0.05865461007857241,77452.24,Medium
JobSatisfaction,0.676,Increases Risk,836,2,1,0,0.05865461007857241,77452.24,Medium
WorkLifeBalance,0.589,Increases Risk,836,3,1,0,0.05865461007857241,77452.24,Medium
DistanceFromHome,0.576,Increases Risk,836,4,1,0,0.05865461007857241,77452.24,Medium
YearsAtCompany,0.489,Increases Risk,836,5,1,0,0.05865461007857241,77452.24,Medium
YearsWithCurrManager,-0.81,Reduces Risk,836,1,1,0,0.05865461007857241,77452.24,Medium
YearsInCurrentRole,-0.691,Reduces Risk,836,2,1,0,0.05865461007857241,77452.24,Medium
EnvironmentSatisfaction,-0.588,Reduces Risk,836,3,1,0,0.05865461007857241,77452.24,Medium
Travels Frequently,-0.49,Reduces Risk,836,4,1,0,0.05865461007857241,77452.24,Medium
Single,-0.475,Reduces Risk,836,5,1,0,0.05865461007857241,77452.24,Medium
Laboratory Technician,1.794,Increases Risk,1042,1,0,0,0.04272657210245193,24318.26,Low
Single,0.883,Increases Risk,1042,2,0,0,0.04272657210245193,24318.26,Low
YearsInCurrentRole,0.375,Increases Risk,1042,3,0,0,0.04272657210245193,24318.26,Low
JobInvolvement,0.343,Increases Risk,1042,4,0,0,0.04272657210245193,24318.26,Low
Medical,0.21,Increases Risk,1042,5,0,0,0.04272657210245193,24318.26,Low
Travels Rarely,-0.622,Reduces Risk,1042,1,0,0,0.04272657210245193,24318.26,Low
Travels Frequently,-0.49,Reduces Risk,1042,2,0,0,0.04272657210245193,24318.26,Low
Overtime,-0.409,Reduces Risk,1042,3,0,0,0.04272657210245193,24318.26,Low
Life Sciences,-0.373,Reduces Risk,1042,4,0,0,0.04272657210245193,24318.26,Low
TrainingTimesLastYear,-0.363,Reduces Risk,1042,5,0,0,0.04272657210245193,24318.26,Low
Overtime,1.744,Increases Risk,1196,1,0,0,0.26908134623029045,343014.14,High
Single,0.883,Increases Risk,1196,2,0,0,0.26908134623029045,343014.14,High
YearsInCurrentRole,0.73,Increases Risk,1196,3,0,0,0.26908134623029045,343014.14,High
Sales Executive,0.696,Increases Risk,1196,4,0,0,0.26908134623029045,343014.14,High
DistanceFromHome,0.576,Increases Risk,1196,5,0,0,0.26908134623029045,343014.14,High
TotalWorkingYears,-0.628,Reduces Risk,1196,1,0,0,0.26908134623029045,343014.14,High
EnvironmentSatisfaction,-0.588,Reduces Risk,1196,2,0,0,0.26908134623029045,343014.14,High
YearsAtCompany,-0.5,Reduces Risk,1196,3,0,0,0.26908134623029045,343014.14,High
Travels Frequently,-0.49,Reduces Risk,1196,4,0,0,0.26908134623029045,343014.14,High
Life Sciences,-0.373,Reduces Risk,1196,5,0,0,0.26908134623029045,343014.14,High
Human Resources,1.787,Increases Risk,493,1,0,0,0.17342861563470569,186834.65,High
Single,0.883,Increases Risk,493,2,0,0,0.17342861563470569,186834.65,High
EnvironmentSatisfaction,0.55,Increases Risk,493,3,0,0,0.17342861563470569,186834.65,High
YearsInCurrentRole,0.375,Increases Risk,493,4,0,0,0.17342861563470569,186834.65,High
Travels Rarely,0.35,Increases Risk,493,5,0,0,0.17342861563470569,186834.65,High
WorkLifeBalance,-0.515,Reduces Risk,493,1,0,0,0.17342861563470569,186834.65,High
YearsAtCompany,-0.5,Reduces Risk,493,2,0,0,0.17342861563470569,186834.65,High
Travels Frequently,-0.49,Reduces Risk,493,3,0,0,0.17342861563470569,186834.65,High
Overtime,-0.409,Reduces Risk,493,4,0,0,0.17342861563470569,186834.65,High
Life Sciences,-0.373,Reduces Risk,493,5,0,0,0.17342861563470569,186834.65,High
Research Scientist,0.75,Increases Risk,626,1,0,0,0.019250599265477564,17931.93,Low
NumCompaniesWorked,0.495,Increases Risk,626,2,0,0,0.019250599265477564,17931.93,Low
Travels Rarely,0.35,Increases Risk,626,3,0,0,0.019250599265477564,17931.93,Low
Married,0.239,Increases Risk,626,4,0,0,0.019250599265477564,17931.93,Low
WorkLifeBalance,0.221,Increases Risk,626,5,0,0,0.019250599265477564,17931.93,Low
JobInvolvement,-0.61,Reduces Risk,626,1,0,0,0.019250599265477564,17931.93,Low
Travels Frequently,-0.49,Reduces Risk,626,2,0,0,0.019250599265477564,17931.93,Low
Single,-0.475,Reduces Risk,626,3,0,0,0.019250599265477564,17931.93,Low
Overtime,-0.409,Reduces Risk,626,4,0,0,0.019250599265477564,17931.93,Low
Medical,-0.343,Reduces Risk,626,5,0,0,0.019250599265477564,17931.93,Low
Laboratory Technician,1.794,Increases Risk,44,1,0,0,0.039154395239681505,28268.69,Low
Travels Frequently,1.326,Increases Risk,44,2,0,0,0.039154395239681505,28268.69,Low
Single,0.883,Increases Risk,44,3,0,0,0.039154395239681505,28268.69,Low
YearsAtCompany,0.598,Increases Risk,44,4,0,0,0.039154395239681505,28268.69,Low
Life Sciences,0.219,Increases Risk,44,5,0,0,0.039154395239681505,28268.69,Low
YearsInCurrentRole,-0.691,Reduces Risk,44,1,0,0,0.039154395239681505,28268.69,Low
Travels Rarely,-0.622,Reduces Risk,44,2,0,0,0.039154395239681505,28268.69,Low
JobSatisfaction,-0.51,Reduces Risk,44,3,0,0,0.039154395239681505,28268.69,Low
YearsWithCurrManager,-0.416,Reduces Risk,44,4,0,0,0.039154395239681505,28268.69,Low
Overtime,-0.409,Reduces Risk,44,5,0,0,0.039154395239681505,28268.69,Low
EnvironmentSatisfaction,0.55,Increases Risk,59,1,0,0,0.0038677996930531456,4172.35,Low
Manufacturing Director,0.541,Increases Risk,59,2,0,0,0.0038677996930531456,4172.35,Low
Travels Rarely,0.35,Increases Risk,59,3,0,0,0.0038677996930531456,4172.35,Low
JobInvolvement,0.343,Increases Risk,59,4,0,0,0.0038677996930531456,4172.35,Low
Medical,0.21,Increases Risk,59,5,0,0,0.0038677996930531456,4172.35,Low
WorkLifeBalance,-0.515,Reduces Risk,59,1,0,0,0.0038677996930531456,4172.35,Low
Travels Frequently,-0.49,Reduces Risk,59,2,0,0,0.0038677996930531456,4172.35,Low
Single,-0.475,Reduces Risk,59,3,0,0,0.0038677996930531456,4172.35,Low
YearsWithCurrManager,-0.416,Reduces Risk,59,4,0,0,0.0038677996930531456,4172.35,Low
Overtime,-0.409,Reduces Risk,59,5,0,0,0.0038677996930531456,4172.35,Low
Single,0.883,Increases Risk,23,1,0,0,0.055664766676096857,12344.22,Low
Research Scientist,0.75,Increases Risk,23,2,0,0,0.055664766676096857,12344.22,Low
YearsInCurrentRole,0.73,Increases Risk,23,3,0,0,0.055664766676096857,12344.22,Low
TotalWorkingYears,0.616,Increases Risk,23,4,0,0,0.055664766676096857,12344.22,Low
YearsWithCurrManager,0.503,Increases Risk,23,5,0,0,0.055664766676096857,12344.22,Low
YearsAtCompany,-0.719,Reduces Risk,23,1,0,0,0.055664766676096857,12344.22,Low
TrainingTimesLastYear,-0.523,Reduces Risk,23,2,0,0,0.055664766676096857,12344.22,Low
JobSatisfaction,-0.51,Reduces Risk,23,3,0,0,0.055664766676096857,12344.22,Low
Travels Frequently,-0.49,Reduces Risk,23,4,0,0,0.055664766676096857,12344.22,Low
Overtime,-0.409,Reduces Risk,23,5,0,0,0.055664766676096857,12344.22,Low
YearsAtCompany,1.477,Increases Risk,1403,1,0,1,0.5486034260128482,1317405.3,High
YearsSinceLastPromotion,1.454,Increases Risk,1403,2,0,1,0.5486034260128482,1317405.3,High
Single,0.883,Increases Risk,1403,3,0,1,0.5486034260128482,1317405.3,High
Sales Executive,0.696,Increases Risk,1403,4,0,1,0.5486034260128482,1317405.3,High
JobSatisfaction,0.676,Increases Risk,1403,5,0,1,0.5486034260128482,1317405.3,High
YearsWithCurrManager,-0.81,Reduces Risk,1403,1,0,1,0.5486034260128482,1317405.3,High
YearsInCurrentRole,-0.691,Reduces Risk,1403,2,0,1,0.5486034260128482,1317405.3,High
TotalWorkingYears,-0.628,Reduces Risk,1403,3,0,1,0.5486034260128482,1317405.3,High
NumCompaniesWorked,-0.524,Reduces Risk,1403,4,0,1,0.5486034260128482,1317405.3,High
Travels Frequently,-0.49,Reduces Risk,1403,5,0,1,0.5486034260128482,1317405.3,High
JobRole_Sales Representative,1.949,Increases Risk,381,1,0,0,0.399471023887973,178036.25,High
YearsInCurrentRole,0.73,Increases Risk,381,2,0,0,0.399471023887973,178036.25,High
TotalWorkingYears,0.557,Increases Risk,381,3,0,0,0.399471023887973,178036.25,High
YearsWithCurrManager,0.503,Increases Risk,381,4,0,0,0.399471023887973,178036.25,High
Technical Degree,0.428,Increases Risk,381,5,0,0,0.399471023887973,178036.25,High
YearsAtCompany,-0.609,Reduces Risk,381,1,0,0,0.399471023887973,178036.25,High
Travels Frequently,-0.49,Reduces Risk,381,2,0,0,0.399471023887973,178036.25,High
Single,-0.475,Reduces Risk,381,3,0,0,0.399471023887973,178036.25,High
Overtime,-0.409,Reduces Risk,381,4,0,0,0.399471023887973,178036.25,High
NumCompaniesWorked,-0.32,Reduces Risk,381,5,0,0,0.399471023887973,178036.25,High
Single,0.883,Increases Risk,115,1,0,0,0.03790836642942381,50685.0,Medium
Sales Executive,0.696,Increases Risk,115,2,0,0,0.03790836642942381,50685.0,Medium
Sales Department,0.404,Increases Risk,115,3,0,0,0.03790836642942381,50685.0,Medium
Travels Rarely,0.35,Increases Risk,115,4,0,0,0.03790836642942381,50685.0,Medium
RelationshipSatisfaction,0.267,Increases Risk,115,5,0,0,0.03790836642942381,50685.0,Medium
JobSatisfaction,-0.51,Reduces Risk,115,1,0,0,0.03790836642942381,50685.0,Medium
Travels Frequently,-0.49,Reduces Risk,115,2,0,0,0.03790836642942381,50685.0,Medium
Overtime,-0.409,Reduces Risk,115,3,0,0,0.03790836642942381,50685.0,Medium
Life Sciences,-0.373,Reduces Risk,115,4,0,0,0.03790836642942381,50685.0,Medium
Laboratory Technician,-0.268,Reduces Risk,115,5,0,0,0.03790836642942381,50685.0,Medium
Overtime,1.744,Increases Risk,342,1,0,0,0.06053401197417277,77831.0,Medium
Single,0.883,Increases Risk,342,2,0,0,0.06053401197417277,77831.0,Medium
Manufacturing Director,0.541,Increases Risk,342,3,0,0,0.06053401197417277,77831.0,Medium
YearsAtCompany,0.489,Increases Risk,342,4,0,0,0.06053401197417277,77831.0,Medium
Travels Rarely,0.35,Increases Risk,342,5,0,0,0.06053401197417277,77831.0,Medium
YearsInCurrentRole,-0.868,Reduces Risk,342,1,0,0,0.06053401197417277,77831.0,Medium
YearsWithCurrManager,-0.81,Reduces Risk,342,2,0,0,0.06053401197417277,77831.0,Medium
JobSatisfaction,-0.51,Reduces Risk,342,3,0,0,0.06053401197417277,77831.0,Medium
Travels Frequently,-0.49,Reduces Risk,342,4,0,0,0.06053401197417277,77831.0,Medium
Medical,-0.343,Reduces Risk,342,5,0,0,0.06053401197417277,77831.0,Medium
Sales Executive,0.696,Increases Risk,1063,1,0,0,0.02002565203625868,31071.8,Medium
DistanceFromHome,0.41,Increases Risk,1063,2,0,0,0.02002565203625868,31071.8,Medium
Sales Department,0.404,Increases Risk,1063,3,0,0,0.02002565203625868,31071.8,Medium
YearsAtCompany,0.379,Increases Risk,1063,4,0,0,0.02002565203625868,31071.8,Medium
Travels Rarely,0.35,Increases Risk,1063,5,0,0,0.02002565203625868,31071.8,Medium
YearsInCurrentRole,-0.513,Reduces Risk,1063,1,0,0,0.02002565203625868,31071.8,Medium
Travels Frequently,-0.49,Reduces Risk,1063,2,0,0,0.02002565203625868,31071.8,Medium
Single,-0.475,Reduces Risk,1063,3,0,0,0.02002565203625868,31071.8,Medium
Overtime,-0.409,Reduces Risk,1063,4,0,0,0.02002565203625868,31071.8,Medium
Life Sciences,-0.373,Reduces Risk,1063,5,0,0,0.02002565203625868,31071.8,Medium
Overtime,1.744,Increases Risk,398,1,0,0,0.1406825962810275,112661.44,Medium
YearsSinceLastPromotion,1.294,Increases Risk,398,2,0,0,0.1406825962810275,112661.44,Medium
Research Scientist,0.75,Increases Risk,398,3,0,0,0.1406825962810275,112661.44,Medium
YearsAtCompany,0.708,Increases Risk,398,4,0,0,0.1406825962810275,112661.44,Medium
DistanceFromHome,0.66,Increases Risk,398,5,0,0,0.1406825962810275,112661.44,Medium
YearsInCurrentRole,-1.223,Reduces Risk,398,1,0,0,0.1406825962810275,112661.44,Medium
