Department,JobRole,AgeGroup,SalaryGroup,EstimatedMonthlySalary,BusinessTravel,OverTime,Attrition,Gender
Sales,Sales Representative,18-25,Low,21740,Travel Frequently,Yes,Yes,Female
Sales,Sales Executive,36-45,High,66530,Non-Travel,No,No,Female
Sales,Sales Executive,36-45,Very High,96990,Travel Frequently,No,No,Male
Research & Development,Healthcare Representative,46-60,High,67550,Travel Rarely,No,No,Male
Research & Development,Laboratory Technician,36-45,Low,22130,Travel Rarely,Yes,No,Female
Sales,Sales Representative,18-25,Low,26100,Non-Travel,No,No,Male
Sales,Sales Representative,26-35,Low,28510,Travel Rarely,Yes,Yes,Female
Research & Development,Laboratory Technician,36-45,Medium,34520,Travel Rarely,No,No,Female
Research & Development,Manufacturing Director,46-60,High,52580,Non-Travel,No,No,Female
Sales,Sales Executive,36-45,Very High,93550,Travel Frequently,No,Yes,Male
Research & Development,Healthcare Representative,46-60,Very High,104960,Travel Rarely,No,No,Male
Sales,Sales Executive,36-45,High,63800,Travel Rarely,Yes,Yes,Male
Research & Development,Research Scientist,26-35,Low,26570,Travel Rarely,Yes,No,Male
Sales,Sales Representative,18-25,Low,27160,Travel Rarely,No,Yes,Female
Research & Development,Research Scientist,26-35,Low,22010,Travel Rarely,No,No,Male
Research & Development,Healthcare Representative,26-35,High,65400,Travel Rarely,No,No,Male
Research & Development,Laboratory Technician,26-35,Medium,38160,Travel Rarely,No,No,Male
Sales,Sales Executive,26-35,High,52530,Travel Rarely,No,No,Male
Research & Development,Healthcare Representative,46-60,Very High,109650,Travel Rarely,No,No,Male
Sales,Sales Executive,46-60,High,49360,Travel Rarely,No,No,Female
Research & Development,Research Scientist,36-45,Low,25430,Travel Rarely,No,No,Female
Sales,Sales Executive,26-35,High,53040,Non-Travel,Yes,Yes,Male
Research & Development,Manager,46-60,Very High,166590,Travel Rarely,Yes,No,Female
Sales,Sales Executive,18-25,Medium,42600,Travel Rarely,Yes,No,Female
Sales,Sales Representative,26-35,Low,24760,Travel Rarely,No,No,Male
Research & Development,Research Scientist,26-35,Medium,31020,Travel Frequently,No,Yes,Male
Research & Development,Research Scientist,18-25,Low,22440,Travel Rarely,No,No,Female
Sales,Sales Executive,36-45,High,75960,Travel Rarely,No,No,Male
Research & Development,Research Scientist,26-35,Low,22850,Travel Frequently,Yes,Yes,Male
Research & Development,Laboratory Technician,36-45,Medium,30340,Travel Rarely,No,No,Female
Sales,Sales Executive,36-45,High,57150,Travel Rarely,No,No,Female
Research & Development,Laboratory Technician,36-45,Low,25760,Travel Rarely,No,No,Female
Research & Development,Manufacturing Director,36-45,Medium,41970,Travel Rarely,Yes,No,Male
Research & Development,Research Director,36-45,Very High,143360,Travel Rarely,No,No,Male
Research & Development,Laboratory Technician,36-45,Medium,34480,Travel Rarely,No,No,Female
Research & Development,Research Director,46-60,Very High,194060,Travel Rarely,No,No,Male
Sales,Sales Executive,26-35,High,65380,Non-Travel,No,No,Female
Research & Development,Manufacturing Director,26-35,Medium,43060,Travel Rarely,No,No,Female
Research & Development,Laboratory Technician,36-45,Low,22580,Travel Frequently,No,No,Male
Research & Development,Healthcare Representative,36-45,Medium,45220,Travel Rarely,Yes,No,Female
Sales,Sales Executive,18-25,Medium,44870,Travel Rarely,Yes,No,Female
Research & Development,Research Scientist,36-45,Medium,44490,Non-Travel,Yes,No,Female
Research & Development,Laboratory Technician,26-35,Low,22180,Travel Rarely,No,No,Male
Research & Development,Manager,36-45,Very High,191970,Travel Frequently,Yes,No,Male
Sales,Sales Executive,46-60,Very High,132120,Travel Frequently,No,No,Female
Sales,Sales Executive,26-35,High,65770,Travel Rarely,No,No,Female
Sales,Sales Executive,36-45,Very High,83920,Travel Rarely,No,No,Male
Research & Development,Laboratory Technician,26-35,Medium,45580,Travel Rarely,No,No,Male
Research & Development,Laboratory Technician,18-25,Medium,40310,Travel Rarely,No,Yes,Male
Research & Development,Manufacturing Director,46-60,High,79690,Travel Rarely,Yes,No,Male
Research & Development,Research Scientist,36-45,Low,26540,Travel Rarely,No,No,Male
Research & Development,Manager,46-60,Very High,165550,Travel Rarely,No,No,Female
Research & Development,Research Scientist,36-45,Medium,45560,Travel Frequently,No,No,Female
Research & Development,Manufacturing Director,26-35,High,60910,Travel Rarely,No,No,Female
Research & Development,Manager,46-60,Very High,195660,Travel Rarely,No,No,Female
Research & Development,Manufacturing Director,46-60,Medium,48100,Travel Rarely,No,No,Female
Research & Development,Healthcare Representative,36-45,Medium,45230,Travel Frequently,No,No,Female
Sales,Sales Representative,18-25,Medium,32020,Travel Rarely,Yes,Yes,Female
Sales,Sales Representative,26-35,Low,23510,Travel Frequently,No,Yes,Female
Research & Development,Laboratory Technician,36-45,Low,17020,Travel Frequently,Yes,No,Male
Sales,Manager,36-45,Very High,180410,Travel Rarely,No,No,Female
Research & Development,Research Scientist,26-35,Low,28860,Travel Rarely,No,No,Female
Research & Development,Laboratory Technician,26-35,Low,20970,Non-Travel,No,No,Male
Research & Development,Research Director,26-35,Very High,119350,Travel Rarely,No,No,Male
Research & Development,Research Scientist,26-35,Low,25460,Travel Rarely,No,Yes,Female
Human Resources,Human Resources,18-25,Low,25640,Travel Rarely,No,Yes,Male
Sales,Sales Executive,26-35,Very High,84120,Non-Travel,No,No,Female
Sales,Manager,46-60,Very High,141180,Travel Rarely,No,No,Male
Research & Development,Manager,46-60,Very High,170460,Travel Rarely,No,No,Male
Research & Development,Laboratory Technician,26-35,Low,25640,Non-Travel,No,No,Female
Sales,Sales Executive,46-60,Very High,102660,Travel Frequently,No,No,Female
Research & Development,Manufacturing Director,46-60,High,50700,Travel Rarely,No,No,Female
Research & Development,Research Director,46-60,Very High,178610,Travel Rarely,No,No,Male
Research & Development,Laboratory Technician,26-35,Medium,42300,Travel Rarely,No,No,Male
Research & Development,Laboratory Technician,46-60,Medium,37800,Travel Rarely,No,No,Female
Research & Development,Research Scientist,26-35,Low,27680,Travel Rarely,No,No,Male
Sales,Sales Executive,46-60,Very High,90710,Travel Rarely,Yes,No,Female
Research & Development,Manufacturing Director,26-35,Very High,106480,Travel Rarely,No,No,Male
Research & Development,Manager,26-35,Very High,136100,Travel Rarely,Yes,Yes,Male
Research & Development,Laboratory Technician,26-35,Medium,34080,Travel Rarely,No,Yes,Male
Sales,Sales Representative,26-35,Medium,29830,Travel Rarely,No,No,Male
Research & Development,Healthcare Representative,26-35,High,76320,Travel Rarely,Yes,No,Male
Research & Development,Healthcare Representative,26-35,Very High,98240,Travel Frequently,No,Yes,Male
Human Resources,Human Resources,26-35,Very High,99500,Travel Frequently,Yes,Yes,Female
Research & Development,Laboratory Technician,36-45,Low,20930,Travel Frequently,No,No,Male
Sales,Sales Executive,36-45,Very High,99800,Non-Travel,No,No,Male
Research & Development,Laboratory Technician,18-25,Medium,38940,Travel Frequently,No,Yes,Male
Sales,Sales Executive,46-60,Medium,40510,Travel Rarely,No,No,Female
Sales,Manager,46-60,Very High,168350,Travel Rarely,No,No,Female
Sales,Sales Executive,36-45,High,62300,Non-Travel,No,No,Male
Sales,Sales Executive,26-35,Medium,47170,Travel Rarely,No,No,Male
Research & Development,Manufacturing Director,36-45,Very High,132370,Travel Rarely,No,No,Female
Research & Development,Laboratory Technician,36-45,Medium,37550,Travel Frequently,No,No,Female
Sales,Sales Executive,26-35,High,65820,Travel Rarely,Yes,No,Male
Research & Development,Manufacturing Director,36-45,High,74060,Travel Rarely,Yes,No,Male
Sales,Sales Executive,36-45,Medium,48050,Travel Rarely,No,No,Male
Human Resources,Human Resources,26-35,Low,27410,Travel Frequently,Yes,Yes,Female
Research & Development,Manufacturing Director,26-35,Medium,42620,Travel Rarely,No,No,Male
Research & Development,Research Director,26-35,Very High,161840,Travel Rarely,No,No,Female
Sales,Manager,26-35,Very High,115570,Travel Rarely,No,No,Male
Sales,Sales Representative,18-25,Low,18780,Travel Frequently,Yes,Yes,Male
Sales,Sales Executive,36-45,Very High,109320,Non-Travel,No,No,Male
Research & Development,Healthcare Representative,36-45,High,68110,Non-Travel,Yes,No,Female
Sales,Sales Executive,26-35,Medium,43060,Travel Rarely,No,No,Male
Sales,Sales Executive,26-35,Medium,48590,Travel Rarely,No,No,Female
Sales,Sales Executive,26-35,High,53370,Travel Rarely,No,No,Male
Research & Development,Laboratory Technician,26-35,Low,23400,Travel Rarely,Yes,Yes,Male
Research & Development,Manufacturing Director,36-45,High,74910,Travel Rarely,No,No,Female
Research & Development,Healthcare Representative,46-60,Very High,105270,Travel Frequently,No,No,Female
Sales,Manager,36-45,Very High,165950,Travel Rarely,No,No,Female
Sales,Sales Executive,36-45,Very High,88340,Non-Travel,No,No,Male
Research & Development,Research Scientist,46-60,High,55770,Travel Rarely,Yes,No,Male
Sales,Sales Executive,26-35,Medium,47070,Non-Travel,No,Yes,Male
Sales,Sales Representative,18-25,Low,24000,Travel Frequently,No,No,Male
Research & Development,Healthcare Representative,36-45,Very High,98240,Travel Rarely,No,No,Female
Research & Development,Manufacturing Director,36-45,High,64470,Travel Rarely,No,No,Female
Research & Development,Research Director,46-60,Very High,195020,Travel Rarely,Yes,No,Male
Research & Development,Research Scientist,18-25,Low,27250,Travel Rarely,Yes,No,Male
Sales,Sales Executive,26-35,High,62720,Travel Rarely,No,No,Male
Research & Development,Laboratory Technician,18-25,Low,21270,Travel Rarely,No,No,Male
Human Resources,Manager,46-60,Very High,182000,Travel Frequently,No,No,Male
Sales,Sales Representative,18-25,Low,20960,Travel Rarely,No,No,Male
Research & Development,Laboratory Technician,18-25,Low,28860,Travel Frequently,Yes,Yes,Female
Sales,Sales Representative,26-35,Low,20330,Travel Frequently,No,Yes,Male
Research & Development,Research Scientist,26-35,Medium,36220,Travel Rarely,Yes,No,Male
Sales,Sales Executive,26-35,Medium,42330,Travel Rarely,No,Yes,Male
Research & Development,Laboratory Technician,26-35,Medium,36810,Travel Rarely,No,No,Male
Sales,Sales Executive,26-35,High,54600,Travel Rarely,No,No,Male
Research & Development,Research Scientist,26-35,Low,21870,Travel Rarely,No,No,Female
Sales,Sales Executive,36-45,Very High,96020,Travel Rarely,Yes,No,Male
Research & Development,Research Scientist,18-25,Low,28360,Travel Rarely,No,No,Female
Research & Development,Healthcare Representative,36-45,Medium,40890,Travel Rarely,No,No,Female
Research & Development,Research Director,36-45,Very High,166270,Travel Rarely,Yes,No,Male
Research & Development,Research Scientist,36-45,Low,26190,Travel Rarely,No,No,Female
Research & Development,Laboratory Technician,36-45,High,56790,Travel Frequently,Yes,No,Male
Research & Development,Manager,46-60,Very High,154020,Travel Rarely,No,No,Female
Human Resources,Human Resources,36-45,High,59850,Travel Rarely,No,No,Female
Sales,Sales Representative,26-35,Low,25790,Travel Rarely,Yes,No,Female
Sales,Sales Representative,26-35,Medium,30410,Travel Rarely,No,Yes,Male
Sales,Sales Representative,18-25,Medium,34470,Travel Rarely,No,No,Male
Research & Development,Manager,36-45,Very High,195130,Travel Rarely,Yes,No,Male
Research & Development,Research Scientist,18-25,Low,27730,Travel Rarely,No,No,Male
Sales,Sales Executive,26-35,High,71040,Travel Rarely,No,No,Male
Research & Development,Research Scientist,26-35,High,63220,Travel Rarely,Yes,No,Female
Research & Development,Research Scientist,26-35,Low,20830,Travel Frequently,No,No,Female
Sales,Sales Executive,46-60,Very High,83810,Travel Rarely,No,No,Female
Research & Development,Research Scientist,26-35,Low,26910,Travel Rarely,No,No,Male
Sales,Sales Executive,36-45,Medium,42860,Travel Frequently,No,Yes,Female
Research & Development,Laboratory Technician,26-35,Low,26590,Travel Rarely,Yes,No,Female
Research & Development,Manufacturing Director,36-45,Very High,94340,Travel Rarely,No,No,Male
Sales,Sales Executive,26-35,High,55610,Travel Rarely,No,No,Female
Research & Development,Research Scientist,26-35,High,66460,Travel Rarely,No,No,Male
Research & Development,Healthcare Representative,26-35,High,77250,Travel Frequently,No,No,Male
Human Resources,Human Resources,46-60,Very High,107250,Travel Rarely,No,No,Male
Research & Development,Manufacturing Director,36-45,Very High,88470,Travel Rarely,Yes,No,Male
Research & Development,Research Scientist,26-35,Low,20450,Travel Rarely,No,No,Male
Research & Development,Research Scientist,18-25,Low,10090,Travel Rarely,Yes,Yes,Male
Research & Development,Research Scientist,26-35,Medium,33480,Travel Frequently,Yes,Yes,Male
Research & Development,Laboratory Technician,26-35,Low,12810,Non-Travel,No,No,Male
Research & Development,Research Scientist,18-25,Low,28190,Travel Rarely,No,No,Male
Sales,Sales Executive,18-25,Medium,48510,Travel Rarely,No,No,Male
Sales,Sales Executive,36-45,Medium,40280,Travel Rarely,No,No,Female
Research & Development,Research Scientist,26-35,Low,27200,Travel Frequently,No,No,Male
Sales,Sales Executive,46-60,High,81200,Travel Rarely,No,No,Male
Sales,Sales Executive,26-35,Medium,46470,Travel Frequently,Yes,No,Female
Research & Development,Research Scientist,36-45,Medium,46800,Travel Rarely,No,No,Male
Research & Development,Laboratory Technician,46-60,Medium,32210,Travel Rarely,Yes,No,Male
Research & Development,Healthcare Representative,26-35,Very High,86210,Travel Rarely,No,No,Female
Sales,Sales Executive,18-25,Medium,45770,Travel Rarely,No,Yes,Female
Research & Development,Healthcare Representative,36-45,Medium,45530,Travel Rarely,No,No,Female
Sales,Sales Executive,26-35,High,53960,Travel Rarely,No,No,Male
Sales,Sales Executive,46-60,High,67960,Travel Frequently,Yes,Yes,Male
Research & Development,Healthcare Representative,36-45,High,76250,Travel Rarely,No,No,Female
Research & Development,Manufacturing Director,26-35,High,74120,Travel Rarely,No,No,Female
Research & Development,Research Director,26-35,Very High,111590,Travel Rarely,No,No,Female
Sales,Sales Executive,46-60,High,49600,Travel Rarely,No,No,Male
Sales,Sales Executive,36-45,Very High,104750,Travel Frequently,Yes,No,Male
Research & Development,Research Director,46-60,Very High,148140,Travel Rarely,No,No,Male
Human Resources,Manager,36-45,Very High,191410,Travel Rarely,No,No,Male
Sales,Sales Executive,46-60,High,54050,Travel Rarely,No,No,Male
Research & Development,Manufacturing Director,26-35,Very High,87930,Travel Frequently,No,No,Male
Human Resources,Manager,36-45,Very High,191890,Travel Rarely,No,No,Male
Sales,Sales Representative,46-60,Medium,38750,Travel Rarely,No,No,Male
Research & Development,Research Scientist,26-35,Low,22160,Travel Rarely,Yes,Yes,Female
Research & Development,Research Director,36-45,Very High,117130,Non-Travel,No,No,Female
Research & Development,Manufacturing Director,36-45,High,78610,Travel Rarely,Yes,No,Female
Research & Development,Laboratory Technician,36-45,Medium,37080,Non-Travel,No,No,Male
Sales,Sales Executive,46-60,Very High,137700,Travel Frequently,Yes,No,Female
Sales,Sales Executive,26-35,High,53040,Travel Rarely,No,No,Male
Sales,Sales Representative,26-35,Low,26420,Travel Rarely,No,No,Male
Research & Development,Research Scientist,36-45,Low,27590,Travel Frequently,Yes,Yes,Male
Sales,Sales Executive,36-45,High,68040,Travel Frequently,No,No,Male
Research & Development,Healthcare Representative,26-35,High,61420,Travel Rarely,No,No,Female
Research & Development,Laboratory Technician,18-25,Low,25000,Travel Rarely,No,No,Male
Human Resources,Human Resources,36-45,High,63890,Travel Rarely,No,No,Female
Research & Development,Healthcare Representative,46-60,Very High,111030,Travel Rarely,No,No,Male
Research & Development,Research Scientist,36-45,Low,23420,Travel Rarely,Yes,No,Female
Research & Development,Healthcare Representative,26-35,High,68110,Travel Rarely,No,No,Female
Sales,Sales Representative,26-35,Low,22970,Travel Rarely,No,No,Male
Research & Development,Laboratory Technician,46-60,Low,24500,Travel Rarely,No,No,Male
Research & Development,Healthcare Representative,26-35,High,50930,Non-Travel,No,No,Female
Research & Development,Laboratory Technician,26-35,High,53090,Travel Frequently,No,No,Male
Research & Development,Research Scientist,36-45,Medium,30570,Travel Rarely,Yes,No,Male
Research & Development,Manufacturing Director,26-35,High,51210,Travel Rarely,No,No,Female
Sales,Manager,46-60,Very High,168560,Travel Rarely,No,No,Male
Research & Development,Research Scientist,26-35,Low,26860,Travel Rarely,Yes,Yes,Male
Sales,Sales Executive,18-25,High,61800,Travel Rarely,No,No,Female
Sales,Sales Representative,36-45,High,66320,Travel Rarely,No,No,Male
Research & Development,Research Scientist,18-25,Medium,35050,Travel Rarely,No,No,Male
Sales,Sales Executive,46-60,High,63970,Travel Frequently,Yes,Yes,Female
Sales,Sales Executive,26-35,High,62740,Travel Rarely,No,No,Male
Research & Development,Manager,46-60,Very High,198590,Travel Rarely,Yes,Yes,Male
Sales,Sales Executive,36-45,High,75870,Non-Travel,No,No,Male
Research & Development,Research Scientist,46-60,Medium,42580,Non-Travel,No,No,Male
Research & Development,Laboratory Technician,26-35,Medium,43640,Travel Frequently,No,No,Female
Research & Development,Healthcare Representative,26-35,Medium,43350,Travel Rarely,No,No,Female
Sales,Sales Executive,26-35,High,53260,Travel Rarely,No,Yes,Male
Research & Development,Research Scientist,26-35,Medium,32800,Travel Rarely,No,No,Female
Research & Development,Manufacturing Director,46-60,High,54850,Travel Rarely,Yes,No,Female
Sales,Sales Executive,26-35,Medium,43420,Travel Frequently,No,No,Male
Research & Development,Research Scientist,36-45,Low,27820,Travel Rarely,Yes,No,Female
Research & Development,Manufacturing Director,36-45,High,59800,Travel Frequently,Yes,No,Female
Research & Development,Research Scientist,26-35,Medium,43810,Travel Rarely,No,No,Female
Sales,Sales Representative,26-35,Low,25720,Travel Rarely,No,No,Female
Research & Development,Laboratory Technician,26-35,Medium,38330,Travel Rarely,No,No,Male
Research & Development,Healthcare Representative,36-45,Medium,42440,Travel Frequently,No,No,Female
Sales,Sales Executive,26-35,High,65000,Travel Rarely,No,No,Female
Research & Development,Manager,36-45,Very High,184300,Travel Frequently,No,No,Male
Research & Development,Laboratory Technician,18-25,Low,16010,Travel Rarely,Yes,Yes,Male
Research & Development,Laboratory Technician,18-25,Low,26940,Non-Travel,No,No,Male
Research & Development,Laboratory Technician,46-60,Medium,31490,Travel Rarely,No,No,Female
Research & Development,Research Director,46-60,Very High,176390,Travel Rarely,No,No,Male
Research & Development,Laboratory Technician,26-35,Low,23190,Travel Rarely,Yes,Yes,Female
Research & Development,Research Director,26-35,Very High,116910,Travel Rarely,No,No,Male
Sales,Sales Executive,26-35,High,53240,Travel Rarely,No,Yes,Female
Research & Development,Manager,46-60,Very High,167520,Travel Rarely,Yes,No,Female
Research & Development,Manufacturing Director,36-45,High,52280,Travel Rarely,No,No,Female
Research & Development,Research Scientist,26-35,Low,27000,Travel Rarely,No,No,Male
Research & Development,Research Director,46-60,Very High,192460,Travel Rarely,Yes,Yes,Male
Research & Development,Research Scientist,26-35,Low,25060,Travel Rarely,No,No,Female
Research & Development,Manufacturing Director,36-45,High,60620,Travel Rarely,Yes,No,Female
Research & Development,Research Scientist,26-35,Medium,43820,Travel Rarely,No,Yes,Male
Human Resources,Human Resources,36-45,Low,21430,Travel Rarely,No,No,Male
Research & Development,Manufacturing Director,26-35,High,61620,Travel Rarely,No,No,Female
Research & Development,Laboratory Technician,36-45,High,50940,Travel Frequently,No,No,Male
Research & Development,Manufacturing Director,26-35,High,68770,Travel Rarely,Yes,No,Female
Research & Development,Research Scientist,36-45,Low,22740,Travel Rarely,No,No,Female
Research & Development,Manufacturing Director,36-45,Medium,44340,Travel Rarely,No,No,Male
Research & Development,Healthcare Representative,36-45,High,62880,Travel Frequently,No,No,Male
Research & Development,Research Scientist,26-35,Low,25530,Travel Frequently,No,No,Female
Sales,Sales Executive,46-60,High,76540,Travel Rarely,No,Yes,Female
Sales,Sales Executive,46-60,High,51600,Travel Rarely,No,Yes,Male
Research & Development,Research Director,36-45,Very High,171590,Travel Rarely,No,No,Male
Research & Development,Research Director,26-35,Very High,128080,Travel Rarely,Yes,No,Male
Research & Development,Manufacturing Director,26-35,Very High,102210,Travel Rarely,No,No,Male
Sales,Sales Executive,26-35,Medium,47790,Travel Rarely,Yes,No,Female
Human Resources,Human Resources,26-35,Medium,37370,Travel Rarely,No,No,Male
Research & Development,Research Scientist,26-35,Low,23660,Travel Frequently,Yes,Yes,Female
Research & Development,Research Scientist,26-35,Low,17060,Non-Travel,No,No,Male
Sales,Manager,46-60,Very High,163070,Travel Rarely,No,No,Female
Research & Development,Healthcare Representative,36-45,High,59330,Travel Rarely,No,No,Male
Research & Development,Research Scientist,18-25,Medium,34240,Travel Rarely,No,No,Male
Sales,Sales Executive,26-35,Medium,40370,Travel Rarely,No,No,Male
Research & Development,Research Scientist,26-35,Low,25590,Travel Rarely,No,No,Female
Sales,Sales Executive,36-45,High,62010,Travel Rarely,Yes,No,Male
Sales,Sales Executive,26-35,Medium,44030,Travel Rarely,No,No,Male
Research & Development,Research Scientist,26-35,Medium,37610,Travel Frequently,No,No,Male
Sales,Sales Executive,46-60,Very High,109340,Travel Rarely,Yes,No,Female
Sales,Sales Executive,36-45,Very High,107610,Travel Rarely,Yes,No,Male
Research & Development,Research Scientist,26-35,High,51750,Travel Rarely,No,No,Female
Research & Development,Manufacturing Director,46-60,Very High,138260,Travel Frequently,No,No,Female
Sales,Sales Executive,36-45,High,63340,Travel Rarely,No,No,Male
Human Resources,Human Resources,26-35,High,49360,Travel Rarely,No,No,Male
Research & Development,Manufacturing Director,18-25,Medium,47750,Travel Rarely,No,No,Male
Research & Development,Laboratory Technician,36-45,Low,28180,Travel Rarely,Yes,No,Male
Research & Development,Research Scientist,36-45,Low,25150,Travel Frequently,Yes,No,Male
Human Resources,Human Resources,36-45,Low,23420,Travel Rarely,No,No,Male
Sales,Sales Executive,18-25,Medium,41940,Travel Rarely,Yes,No,Male
Research & Development,Manufacturing Director,26-35,Very High,106850,Travel Rarely,Yes,No,Female
Research & Development,Research Scientist,26-35,Low,20220,Travel Frequently,Yes,Yes,Female
Research & Development,Laboratory Technician,26-35,Low,23140,Non-Travel,No,No,Male
Sales,Sales Executive,18-25,Medium,42560,Travel Rarely,No,No,Male
Research & Development,Research Scientist,46-60,Medium,35800,Travel Rarely,No,No,Female
Research & Development,Laboratory Technician,18-25,Medium,31620,Non-Travel,No,No,Male
Sales,Sales Executive,26-35,High,65240,Travel Frequently,No,No,Male
Sales,Sales Representative,36-45,Low,28990,Travel Rarely,No,No,Male
Research & Development,Laboratory Technician,36-45,High,52310,Travel Rarely,Yes,No,Female
Research & Development,Research Scientist,26-35,Low,23560,Travel Rarely,Yes,No,Male
Sales,Sales Representative,26-35,Low,28000,Travel Rarely,Yes,Yes,Female
Sales,Sales Executive,46-60,Very High,118360,Travel Rarely,No,No,Male
Research & Development,Manufacturing Director,26-35,Very High,109030,Travel Rarely,No,No,Male
Sales,Sales Representative,36-45,Medium,29730,Travel Frequently,No,No,Female
Research & Development,Research Director,46-60,Very High,142750,Travel Rarely,No,No,Female
Research & Development,Healthcare Representative,36-45,High,55620,Travel Frequently,No,No,Female
Sales,Sales Executive,46-60,Medium,45370,Travel Rarely,Yes,No,Female
Sales,Sales Executive,36-45,High,76420,Non-Travel,Yes,No,Male
Research & Development,Manager,46-60,Very High,179240,Non-Travel,No,No,Male
Human Resources,Human Resources,36-45,High,52040,Travel Rarely,No,No,Female
Human Resources,Human Resources,26-35,Low,22770,Travel Rarely,Yes,No,Male
Research & Development,Laboratory Technician,26-35,Low,27950,Travel Rarely,Yes,Yes,Male
Research & Development,Laboratory Technician,26-35,Low,25320,Travel Rarely,No,No,Female
Research & Development,Research Scientist,36-45,Low,25590,Travel Rarely,Yes,No,Male
Sales,Sales Executive,26-35,Medium,49080,Travel Rarely,No,No,Male
Research & Development,Laboratory Technician,46-60,Low,23800,Travel Frequently,Yes,Yes,Male
Research & Development,Manufacturing Director,36-45,Medium,47650,Travel Rarely,No,No,Female
Sales,Sales Representative,18-25,Low,20440,Travel Rarely,No,Yes,Female
Research & Development,Research Scientist,18-25,Low,26930,Travel Rarely,No,Yes,Female
Research & Development,Healthcare Representative,36-45,High,65860,Travel Rarely,Yes,No,Male
Sales,Sales Representative,46-60,Medium,32940,Travel Rarely,Yes,No,Female
Research & Development,Manufacturing Director,18-25,Medium,41710,Travel Rarely,Yes,Yes,Female
Research & Development,Laboratory Technician,36-45,Low,27780,Travel Rarely,Yes,Yes,Female
Research & Development,Research Scientist,26-35,Low,23770,Travel Rarely,No,No,Female
Research & Development,Laboratory Technician,36-45,Low,24040,Travel Rarely,Yes,Yes,Male
Research & Development,Research Scientist,26-35,Low,23180,Travel Rarely,No,No,Female
Research & Development,Laboratory Technician,26-35,Low,20080,Travel Rarely,No,No,Male
Sales,Sales Executive,36-45,High,62440,Travel Rarely,No,No,Female
Research & Development,Research Scientist,26-35,Low,27990,Travel Rarely,Yes,No,Male
Research & Development,Healthcare Representative,46-60,Very High,105520,Travel Rarely,Yes,No,Female
Sales,Sales Representative,26-35,Low,23290,Travel Rarely,No,No,Male
Research & Development,Healthcare Representative,26-35,Medium,40140,Travel Rarely,Yes,No,Female
Research & Development,Laboratory Technician,46-60,High,74030,Travel Rarely,No,No,Female
Research & Development,Research Scientist,46-60,Low,22590,Travel Rarely,No,No,Male
Sales,Sales Executive,26-35,High,69320,Non-Travel,No,No,Female
Research & Development,Research Scientist,36-45,Medium,46780,Travel Rarely,No,No,Male
Research & Development,Research Director,36-45,Very High,135820,Travel Rarely,No,No,Female
Research & Development,Laboratory Technician,26-35,Low,23320,Non-Travel,No,No,Female
Sales,Sales Representative,18-25,Low,24130,Travel Rarely,Yes,Yes,Male
Sales,Sales Executive,36-45,Very High,97050,Travel Rarely,No,No,Male
Sales,Sales Executive,26-35,Medium,42940,Travel Frequently,No,No,Male
Research & Development,Laboratory Technician,36-45,Medium,47210,Travel Rarely,Yes,No,Male
Research & Development,Laboratory Technician,36-45,Low,25190,Travel Rarely,No,No,Male
Sales,Sales Representative,18-25,Low,21210,Travel Rarely,Yes,Yes,Male
Research & Development,Laboratory Technician,18-25,Medium,29730,Travel Rarely,No,Yes,Male
Research & Development,Healthcare Representative,26-35,High,58550,Travel Rarely,Yes,No,Female
Research & Development,Research Scientist,36-45,Medium,36170,Travel Frequently,Yes,No,Male
Research & Development,Manufacturing Director,26-35,High,67250,Travel Rarely,No,No,Female
Sales,Sales Executive,36-45,Very High,103250,Travel Rarely,Yes,Yes,Male
Research & Development,Healthcare Representative,26-35,High,69490,Travel Rarely,No,No,Female
Sales,Sales Executive,36-45,Very High,106090,Travel Rarely,No,Yes,Male
Research & Development,Laboratory Technician,36-45,Medium,44470,Non-Travel,No,No,Male
Sales,Sales Representative,26-35,Low,21570,Travel Frequently,No,No,Female
Sales,Sales Executive,26-35,Medium,46010,Travel Rarely,No,No,Female
Research & Development,Manager,46-60,Very High,170990,Travel Rarely,No,No,Male
Research & Development,Research Scientist,46-60,Low,24790,Travel Rarely,No,Yes,Male
Sales,Manager,46-60,Very High,148520,Travel Rarely,No,No,Male
Sales,Sales Executive,26-35,High,72640,Travel Rarely,No,No,Male
Sales,Sales Executive,36-45,High,56660,Non-Travel,Yes,No,Female
Sales,Sales Executive,26-35,High,78230,Travel Rarely,No,No,Male
Sales,Sales Executive,36-45,High,78800,Travel Rarely,No,No,Male
Sales,Sales Executive,36-45,Very High,131940,Non-Travel,Yes,Yes,Female
Research & Development,Manufacturing Director,46-60,High,50670,Travel Frequently,Yes,No,Male
Sales,Sales Executive,36-45,High,50790,Non-Travel,No,No,Male
Research & Development,Research Scientist,26-35,Low,23210,Non-Travel,Yes,Yes,Male
Sales,Manager,26-35,Very High,174440,Non-Travel,No,No,Male
Research & Development,Research Scientist,26-35,Low,24040,Travel Rarely,Yes,Yes,Female
Research & Development,Research Scientist,26-35,Medium,34520,Travel Rarely,No,No,Female
Research & Development,Laboratory Technician,36-45,Low,22700,Travel Rarely,No,No,Female
Research & Development,Research Director,46-60,Very High,173990,Travel Rarely,No,No,Male
Research & Development,Healthcare Representative,26-35,High,54880,Travel Frequently,Yes,No,Female
Research & Development,Research Director,36-45,Very High,194190,Travel Frequently,No,No,Male
